Name,Price,Colors,Product Link
Slim Fit Jersey Jacket,$ 79.99,Gray,https://www.hm.com/en_us/productpage.0943929001.html
10-pack Socks,$ 22.99,"Black, Khaki green/cream, Gray melange/black, Gray melange/black",https://www.hm.com/en_us/productpage.1007333001.html
Regular Fit Textured Shirt,$ 24.99,"Light beige, Khaki green, Navy blue",https://www.hm.com/en_us/productpage.1251263001.html
Double-Layered Sports Shorts with DryMove™,$ 24.99,"Black, Gray, Navy blue, Brown",https://www.hm.com/en_us/productpage.1252016001.html
Loose Fit Parachute Cargo Pants,$ 44.99,"Black, Dark gray",https://www.hm.com/en_us/productpage.1211408001.html
Regular Fit Sports Cargo Joggers,$ 44.99,"Black, Dark sage green, Khaki green, Light khaki beige",https://www.hm.com/en_us/productpage.1205589001.html
Regular Fit Tweed overshirt,$ 69.99,"Dark gray/patterned, Dark gray",https://www.hm.com/en_us/productpage.1245658001.html
5-pack Short Cotton Boxer Shorts,$ 24.99,"Gray melange, Navy blue, Black, Gray/black, Red/black",https://www.hm.com/en_us/productpage.1129809016.html
Short Textured-Weave Jacket,$ 169.00,Beige melange,https://www.hm.com/en_us/productpage.1272741001.html
Slim Fit Grandad shirt,$ 24.99,"Black, White",https://www.hm.com/en_us/productpage.1240783002.html
Wool-Blend Topcoat,$ 219.00,Black,https://www.hm.com/en_us/productpage.1272717001.html
Slim Fit Cotton Twill Pants,$ 24.99,"Black, White, Dark gray, Navy blue, Light beige, Khaki green",https://www.hm.com/en_us/productpage.1074402001.html
Slim Fit Cotton Chinos,$ 29.99,"Black, Navy blue",https://www.hm.com/en_us/productpage.1234995001.html
Regular Fit Piqué Polo Shirt,$ 14.99,"Black, Pink, White",https://www.hm.com/en_us/productpage.1209183001.html
Slim Fit Single-Breasted Jacket,$ 79.99,"Black, Gray, Dark beige, Navy blue, Dark gray",https://www.hm.com/en_us/productpage.0713986044.html
Muscle Fit Cotton Shirt,$ 19.99,"White, Black",https://www.hm.com/en_us/productpage.0735094002.html
Regular-Fit Cotton Cargo Joggers with DryMove™,$ 44.99,"Black, Dark gray, Light taupe, Dark blue, Khaki green",https://www.hm.com/en_us/productpage.1207918001.html
Regular-Fit Textured Resort Shirt,$ 29.99,"Beige/striped, Navy blue/striped, Light blue/striped, Brown/cream striped",https://www.hm.com/en_us/productpage.1261407002.html
Slim-Fit Rib-Knit Polo Shirt,$ 34.99,"Navy blue, Dark beige, Cream",https://www.hm.com/en_us/productpage.1285783002.html
Regular-Fit Short-Sleeved Linen-Blend Shirt,$ 29.99,"Sage green, Green/white striped, Beige/white striped, Navy blue, Light beige, White, Black, Light brown",https://www.hm.com/en_us/productpage.1256946004.html
Regular Fit T-shirt,$ 7.99,"Black, White, Dark blue, Dark gray, Brown, Gray melange, Light green, Light beige, Pink, Dark eggplant, Light gray, Light beige",https://www.hm.com/en_us/productpage.0685816002.html
Regular-Fit Linen-Blend Pants,$ 39.99,"Black, Cream, Dark beige, White, Navy blue",https://www.hm.com/en_us/productpage.1253401002.html
Regular-Fit Resort Shirt,$ 34.99,"Gray/white, Navy blue",https://www.hm.com/en_us/productpage.1265102001.html
Regular-Fit Textured Resort Shirt,$ 29.99,"Light blue/striped, Navy blue/striped, Beige/striped, Brown/cream striped",https://www.hm.com/en_us/productpage.1261407003.html
Regular-Fit Short-Sleeved Linen-Blend Shirt,$ 29.99,"Green/white striped, Sage green, Beige/white striped, Navy blue, Light beige, White, Black, Light brown",https://www.hm.com/en_us/productpage.1256946011.html
Relaxed-Fit Tailored Linen-Blend Pants,$ 44.99,"Black, Brown, Cream",https://www.hm.com/en_us/productpage.1259379002.html
Slim-Fit Cotton Chinos,$ 29.99,"Cream, Black, Beige, Navy blue, Beige, Dark gray",https://www.hm.com/en_us/productpage.1248348006.html
Relaxed-Fit Tailored Linen-Blend Pants,$ 44.99,"Brown, Black, Cream",https://www.hm.com/en_us/productpage.1259379003.html
Relaxed-Fit Cargo Pants,$ 44.99,"Dark gray, Dark beige, Pistachio green",https://www.hm.com/en_us/productpage.1259391001.html
2-pack Regular Fit Jersey joggers,$ 34.99,"Gray melange, Black/dark gray melange",https://www.hm.com/en_us/productpage.1273108002.html
Slim Fit Cargo Joggers,$ 44.99,"Dark beige, Black",https://www.hm.com/en_us/productpage.1261707002.html
Slim Fit Linen Shirt,$ 44.99,"White, Light blue, Sage green, Black",https://www.hm.com/en_us/productpage.1258123001.html
Slim Fit Linen Shirt,$ 44.99,"Light blue, White, Sage green, Black",https://www.hm.com/en_us/productpage.1258123002.html
Regular Fit Short-sleeved Jersey Shirt,$ 24.99,"Brown, Khaki green",https://www.hm.com/en_us/productpage.1229117004.html
Regular-Fit Short-Sleeved Linen-Blend Shirt,$ 29.99,"Beige/white striped, Sage green, Green/white striped, Navy blue, Light beige, White, Black, Light brown",https://www.hm.com/en_us/productpage.1256946005.html
Regular-Fit Linen Shirt,$ 44.99,"White, Light beige",https://www.hm.com/en_us/productpage.1258318002.html
